id,doc_len
733,34
935,42
216,403
286,292
598,656
767,696
840,2359
864,2189
583,738
782,627
791,783
137,4440
173,1173
194,158
505,4698
626,205
692,74
601,46
21,17382
135,903
238,291
547,670
809,560
877,2218
881,679
701,182
59,1130
122,4681
129,441
372,850
620,205
542,46
335,15665
960,899
651,362
759,92
310,4909
313,706
493,907
868,534
627,254
393,61
81,1205
165,858
223,1334
878,3794
15,833
315,27
180,519
436,809
438,47
811,746
195,175
648,32
38,14230
82,2549
350,620
472,2011
523,1484
609,158
695,1178
133,223
351,942
723,623
980,28261
97,1433
470,138
663,54
30,695
151,1115
708,7276
895,940
42,919
73,170
582,157
90,167
159,804
256,433
709,76
851,281
690,773
457,28
312,2032
338,794
425,435
445,235
685,1795
771,642
680,670
643,34
597,1121
674,1634
764,799
812,518
297,58
23,1540
117,12073
291,394
783,329
121,1598
824,3780
46,1517
494,311
284,480
358,298
217,84
409,31
20,17382
70,617
479,1970
848,5078
616,362
300,47
99,3942
444,12381
510,611
799,936
937,4742
976,4742
617,352
630,268
676,41
231,2071
387,434
885,618
483,90
109,252
354,288
640,211
660,52
918,4267
770,888
793,623
832,1285
862,966
60,344
545,222
189,45
534,240
578,155
798,359
873,2490
311,28
566,395
717,158
721,623
888,1072
969,1667
569,157
633,215
93,858
40,1071
204,251
251,1502
366,505
666,520
707,418
259,1264
282,850
285,379
647,84
147,3457
887,1047
908,270
787,175
183,2177
522,435
527,44
725,2228
728,514
837,1316
571,155
240,1272
263,878
396,782
16,1474
917,1598
64,507
612,1318
698,447
281,458
839,294
336,79
91,858
152,712
317,928
416,246
584,155
667,110
788,593
835,1510
357,89
267,45
398,933
757,1456
808,599
956,815
261,36
625,199
949,1391
489,67
45,5725
53,292
148,1247
669,546
972,3376
47,518
531,572
572,227
394,44
619,212
484,25
169,1033
786,716
751,24
273,239
758,5322
24,643
456,341
340,521
458,343
739,24
211,162
526,736
469,26
103,2
927,2
492,45
102,5
401,23
655,2
104,2
